Epoch: 0, Loss: 1.745e-01, Training accuracy:0.681, Validation Loss: 1.183e-01, Validation Accuracy: 0.685, Time: 26.714, Learning Rate: 1.000e-03
Epoch: 1, Loss: 9.481e-02, Training accuracy:0.730, Validation Loss: 7.990e-02, Validation Accuracy: 0.730, Time: 27.129, Learning Rate: 1.000e-03
Epoch: 2, Loss: 7.370e-02, Training accuracy:0.757, Validation Loss: 6.910e-02, Validation Accuracy: 0.755, Time: 27.057, Learning Rate: 1.000e-03
Epoch: 3, Loss: 6.577e-02, Training accuracy:0.776, Validation Loss: 6.380e-02, Validation Accuracy: 0.772, Time: 27.380, Learning Rate: 1.000e-03
Epoch: 4, Loss: 6.119e-02, Training accuracy:0.788, Validation Loss: 6.031e-02, Validation Accuracy: 0.782, Time: 27.234, Learning Rate: 1.000e-03
Epoch: 5, Loss: 5.805e-02, Training accuracy:0.798, Validation Loss: 5.790e-02, Validation Accuracy: 0.792, Time: 27.322, Learning Rate: 1.000e-03
Epoch: 6, Loss: 5.568e-02, Training accuracy:0.806, Validation Loss: 5.591e-02, Validation Accuracy: 0.798, Time: 26.736, Learning Rate: 1.000e-03
Epoch: 7, Loss: 5.378e-02, Training accuracy:0.813, Validation Loss: 5.436e-02, Validation Accuracy: 0.807, Time: 27.600, Learning Rate: 1.000e-03
Epoch: 8, Loss: 5.222e-02, Training accuracy:0.819, Validation Loss: 5.298e-02, Validation Accuracy: 0.812, Time: 28.451, Learning Rate: 1.000e-03
Epoch: 9, Loss: 5.091e-02, Training accuracy:0.822, Validation Loss: 5.186e-02, Validation Accuracy: 0.818, Time: 28.786, Learning Rate: 1.000e-03
