Epoch: 0, Loss: 1.765e-01, Training accuracy:0.607, Validation Loss: 1.131e-01, Validation Accuracy: 0.606, Time: 19.150, Learning Rate: 1.000e-03
Epoch: 1, Loss: 1.053e-01, Training accuracy:0.653, Validation Loss: 9.812e-02, Validation Accuracy: 0.655, Time: 36.272, Learning Rate: 1.000e-03
Epoch: 2, Loss: 9.439e-02, Training accuracy:0.674, Validation Loss: 9.119e-02, Validation Accuracy: 0.679, Time: 28.081, Learning Rate: 1.000e-03
Epoch: 3, Loss: 8.876e-02, Training accuracy:0.687, Validation Loss: 8.721e-02, Validation Accuracy: 0.684, Time: 31.694, Learning Rate: 1.000e-03
Epoch: 4, Loss: 8.493e-02, Training accuracy:0.698, Validation Loss: 8.427e-02, Validation Accuracy: 0.693, Time: 33.965, Learning Rate: 1.000e-03
Epoch: 5, Loss: 8.208e-02, Training accuracy:0.705, Validation Loss: 8.198e-02, Validation Accuracy: 0.701, Time: 27.351, Learning Rate: 1.000e-03
Epoch: 6, Loss: 7.978e-02, Training accuracy:0.712, Validation Loss: 8.012e-02, Validation Accuracy: 0.709, Time: 29.034, Learning Rate: 1.000e-03
Epoch: 7, Loss: 7.804e-02, Training accuracy:0.719, Validation Loss: 7.903e-02, Validation Accuracy: 0.711, Time: 34.246, Learning Rate: 1.000e-03
Epoch: 8, Loss: 7.629e-02, Training accuracy:0.724, Validation Loss: 7.767e-02, Validation Accuracy: 0.717, Time: 24.498, Learning Rate: 1.000e-03
Epoch: 9, Loss: 7.485e-02, Training accuracy:0.729, Validation Loss: 7.671e-02, Validation Accuracy: 0.719, Time: 24.769, Learning Rate: 1.000e-03
