Epoch: 0, Loss: 5.144e-02, Training accuracy:0.856, Validation Loss: 4.279e-02, Validation Accuracy: 0.846, Time: 30.252, Learning Rate: 1.000e-04
Epoch: 1, Loss: 3.616e-02, Training accuracy:0.873, Validation Loss: 3.753e-02, Validation Accuracy: 0.861, Time: 32.146, Learning Rate: 1.000e-04
Epoch: 2, Loss: 3.230e-02, Training accuracy:0.887, Validation Loss: 3.467e-02, Validation Accuracy: 0.870, Time: 32.192, Learning Rate: 1.000e-04
Epoch: 3, Loss: 3.006e-02, Training accuracy:0.894, Validation Loss: 3.374e-02, Validation Accuracy: 0.873, Time: 32.174, Learning Rate: 1.000e-04
Epoch: 4, Loss: 2.850e-02, Training accuracy:0.897, Validation Loss: 3.329e-02, Validation Accuracy: 0.877, Time: 31.848, Learning Rate: 1.000e-04
Epoch: 5, Loss: 2.733e-02, Training accuracy:0.902, Validation Loss: 3.272e-02, Validation Accuracy: 0.881, Time: 32.542, Learning Rate: 1.000e-04
Epoch: 6, Loss: 2.634e-02, Training accuracy:0.904, Validation Loss: 3.259e-02, Validation Accuracy: 0.881, Time: 32.490, Learning Rate: 1.000e-04
Epoch: 7, Loss: 2.553e-02, Training accuracy:0.908, Validation Loss: 3.222e-02, Validation Accuracy: 0.882, Time: 33.242, Learning Rate: 1.000e-04
Epoch: 8, Loss: 2.482e-02, Training accuracy:0.910, Validation Loss: 3.244e-02, Validation Accuracy: 0.883, Time: 32.301, Learning Rate: 1.000e-04
Epoch: 9, Loss: 2.422e-02, Training accuracy:0.911, Validation Loss: 3.229e-02, Validation Accuracy: 0.884, Time: 32.512, Learning Rate: 1.000e-04
