Epoch: 0, Loss: 4.974e-02, Training accuracy:0.856, Validation Loss: 4.200e-02, Validation Accuracy: 0.846, Time: 98.882, Learning Rate: 1.000e-03
Epoch: 1, Loss: 3.638e-02, Training accuracy:0.879, Validation Loss: 3.637e-02, Validation Accuracy: 0.866, Time: 100.204, Learning Rate: 1.000e-03
Epoch: 2, Loss: 3.247e-02, Training accuracy:0.890, Validation Loss: 3.455e-02, Validation Accuracy: 0.872, Time: 99.161, Learning Rate: 1.000e-03
Epoch: 3, Loss: 2.975e-02, Training accuracy:0.894, Validation Loss: 3.422e-02, Validation Accuracy: 0.874, Time: 106.286, Learning Rate: 1.000e-03
Epoch: 4, Loss: 2.763e-02, Training accuracy:0.899, Validation Loss: 3.394e-02, Validation Accuracy: 0.876, Time: 104.140, Learning Rate: 1.000e-03
Epoch: 5, Loss: 2.582e-02, Training accuracy:0.905, Validation Loss: 3.353e-02, Validation Accuracy: 0.881, Time: 101.526, Learning Rate: 1.000e-03
Epoch: 6, Loss: 2.436e-02, Training accuracy:0.912, Validation Loss: 3.319e-02, Validation Accuracy: 0.885, Time: 100.534, Learning Rate: 1.000e-03
Epoch: 7, Loss: 2.309e-02, Training accuracy:0.913, Validation Loss: 3.476e-02, Validation Accuracy: 0.883, Time: 100.292, Learning Rate: 1.000e-03
Epoch: 8, Loss: 2.193e-02, Training accuracy:0.912, Validation Loss: 3.757e-02, Validation Accuracy: 0.880, Time: 102.191, Learning Rate: 1.000e-03
Epoch: 9, Loss: 2.098e-02, Training accuracy:0.914, Validation Loss: 3.913e-02, Validation Accuracy: 0.881, Time: 95.503, Learning Rate: 1.000e-03
